"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.680,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.68,1017432.59984728,1979102.23154951,2667210.24350512,1692233.61601574,2297359.10833315
Fmult(2017) = 0.690,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.69,1028436.30674175,1976493.77103545,2667210.24350512,1682574.32983379,2288010.23726201
Fmult(2017) = 0.700,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.7,1039350.10749744,1973889.67701487,2667210.24350512,1673008.54523377,2278739.10282508
Fmult(2017) = 0.710,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.71,1050174.87853664,1971289.94165906,2667210.24350512,1663535.1852799,2269544.93458593
Fmult(2017) = 0.720,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.72,1060911.4872677,1968694.5571537,2667210.24350512,1654153.1861338,2260426.9701224
Fmult(2017) = 0.730,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.73,1071560.79218016,1966103.51569884,2667210.24350512,1644861.4968913,2251384.4549413
Fmult(2017) = 0.740,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.74,1082123.64293884,1963516.80950891,2667210.24350512,1635659.07942139,2242416.64239413
Fmult(2017) = 0.750,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.75,1092600.88047698,1960934.43081267,2667210.24350512,1626544.90820715,2233522.79359363
Fmult(2017) = 0.760,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.76,1102993.33708832,1958356.37185317,2667210.24350512,1617517.97018871,2224702.17733129
Fmult(2017) = 0.770,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.77,1113301.83651822,1955782.62488775,2667210.24350512,1608577.26460816,2215954.06999567
Fmult(2017) = 0.780,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.78,1123527.19405378,1953213.18218799,2667210.24350512,1599721.80285649,2207277.75549171
Fmult(2017) = 0.790,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.79,1133670.21661304,1950648.03603971,2667210.24350512,1590950.6083224,2198672.52516082
