"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.820,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.374744770314164,630617.406735214,2053227.73160403,2658309.15551512,2049627.90990894,2618169.27759351
Fmult(2017) = 0.830,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.379314828488727,637105.120091369,2051978.00662089,2658309.15551512,2042833.77329653,2612631.2242597
Fmult(2017) = 0.840,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.38388488666329,643567.432996534,2050729.24122923,2658309.15551512,2036051.64565775,2607115.24149176
Fmult(2017) = 0.850,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.388454944837853,650004.460675811,2049481.4346415,2658309.15551512,2029281.6339695,2601621.22763972
Fmult(2017) = 0.860,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.393025003012416,656416.317806934,2048234.5860708,2658309.15551512,2022523.84391204,2596149.08154155
Fmult(2017) = 0.870,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.397595061186979,662803.11852293,2046988.69473093,2658309.15551512,2015778.37987118,2590698.7025207
Fmult(2017) = 0.880,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.402165119361542,669164.976414768,2045743.75983631,2658309.15551512,2009045.34494053,2585269.99038377
Fmult(2017) = 0.890,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.406735177536105,675502.004533998,2044499.78060205,2658309.15551512,2002324.84092386,2579862.84541812
Fmult(2017) = 0.900,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.411305235710668,681814.315395364,2043256.7562439,2658309.15551512,1995616.96833752,2574477.16838952
Fmult(2017) = 0.910,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.415875293885231,688102.020979423,2042014.6859783,2658309.15551512,1988921.82641306,2569112.86053982
Fmult(2017) = 0.920,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.420445352059794,694365.232735136,2040773.56902232,2658309.15551512,1982239.5130998,2563769.82358458
Fmult(2017) = 0.930,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.425015410234357,700604.061582452,2039533.4045937,2658309.15551512,1975570.12506757,2558447.95971083
